crime_type,neighbourhood,year,month,count
Theft from Vehicle,Fairview,2018,7,71
Theft from Vehicle,Fairview,2018,2,66
Theft from Vehicle,Fairview,2018,10,61
Theft from Vehicle,Fairview,2018,8,61
Theft from Vehicle,Fairview,2018,5,57
Theft from Vehicle,Fairview,2018,9,55
Theft from Vehicle,Fairview,2018,11,53
Theft from Vehicle,Fairview,2018,3,52
Theft from Vehicle,Fairview,2018,4,50
Theft from Vehicle,Fairview,2018,6,47
Theft from Vehicle,Fairview,2018,12,45
Theft from Vehicle,Fairview,2015,1,66
Theft from Vehicle,Fairview,2015,12,63
Theft from Vehicle,Fairview,2015,7,57
Theft from Vehicle,Fairview,2015,11,54
Theft from Vehicle,Fairview,2015,10,54
Theft from Vehicle,Fairview,2015,9,52
Theft from Vehicle,Fairview,2015,3,51
Theft from Vehicle,Fairview,2015,8,46
Theft from Vehicle,Fairview,2015,5,42
Theft from Vehicle,Fairview,2015,4,37
Theft from Vehicle,Fairview,2015,2,35
Theft from Vehicle,Fairview,2015,6,32
Theft from Vehicle,Fairview,2013,12,64
Theft from Vehicle,Fairview,2013,10,53
Theft from Vehicle,Fairview,2013,11,53
Theft from Vehicle,Fairview,2013,8,51
Theft from Vehicle,Fairview,2013,9,44
Theft from Vehicle,Fairview,2013,6,42
Theft from Vehicle,Fairview,2013,5,38
